cultivo,plaga_enfermedad,comarca_nombre,comarca_zona,comarca_zona_id,fecha_aviso,nivel_aviso
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-04-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-04-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-04-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-04-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-04-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-04-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-04-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-04-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-04-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-08-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-08-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-08-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-07-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-07-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-07-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-07-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-07-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-07-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-07-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-07-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-07-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-07-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-07-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-07-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-06-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-06-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-06-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-06-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-06-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-06-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-06-14,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-06-14,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-06-14,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-06-07,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-06-07,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-06-07,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-05-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-05-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-05-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-05-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-05-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-05-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-05-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-05-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-05-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-05-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-05-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-05-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-05-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-05-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-05-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-04-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-04-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-04-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-04-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-04-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-04-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-04-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-04-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-04-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-03-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-03-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-03-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-10-06,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-10-06,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-10-06,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-08-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-08-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-08-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-08-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-08-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-08-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-08-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-08-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-08-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-08-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-08-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-08-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-08-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-08-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-08-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-07-27,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-07-27,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-07-27,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-07-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-07-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-07-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-07-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-07-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-07-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-07-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-07-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-07-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-06-30,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-06-30,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-06-30,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-06-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-06-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-06-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-06-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-06-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-06-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-06-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-06-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-06-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-06-01,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-06-01,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-06-01,BAJO
